respondent_id,full_name,neighborhood,channel,pillar,question_num,question_text,response_text,duration_sec,sentiment,timestamp
NCH-101,Marcus Thompson,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,We need to preserve the history of the Cary sisters - Alice and Phoebe Cary were important poets from right here. The Clovernook Center sits on their old homestead from 1832. That literary heritage should be taught in our schools and celebrated more widely.,45,negative,2026-01-15 09:23:41
NCH-101,Marcus Thompson,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,A mural on the side of the community center would be perfect. Something that shows our history from the Underground Railroad days to now. We could also use art at the entrance to Stapleton Park.,32,negative,2026-01-15 09:24:55
NCH-101,Marcus Thompson,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,The Juneteenth Jam is great but we need more events throughout the year. I would love to see a summer concert series in Stapleton Park featuring local musicians especially jazz and gospel.,38,negative,2026-01-15 09:26:12
NCH-101,Marcus Thompson,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Our community has deep roots going back to Black homesteaders in the early 1900s. That history of self-determination and building something from nothing - that is a cultural tradition worth honoring.,29,negative,2026-01-15 09:27:03
NCH-102,Dorothy Williams,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Child let me tell you - the church choirs in this neighborhood are something special. Mount Zion and the other Baptist churches have been the heart of our musical tradition for generations. We need to record these voices before they are gone.,52,negative,2026-01-15 10:45:22
NCH-102,Dorothy Williams,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,I would put something right there on Hamilton Avenue where everybody can see it when they drive through. Maybe show the different generations of families who built this community.,41,neutral,2026-01-15 10:47:15
NCH-102,Dorothy Williams,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,We used to have a proper community talent show years ago. Kids and adults and everybody could participate. I would love to see that come back. Also more events for seniors - we have culture to share too.,48,neutral,2026-01-15 10:49:02
NCH-102,Dorothy Williams,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,The Food Truck Fridays brought people together and that is what we need more of. But we also need spaces indoors for the winter months where people can gather and share their talents.,36,neutral,2026-01-15 10:50:28
NCH-103,James Robinson,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Honestly most of our talented artists have had to leave because there is no support here. No gallery space and no performance venue. We are losing a whole generation of creatives to other neighborhoods.,42,negative,2026-01-15 14:12:08
NCH-103,James Robinson,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,The schools need art. North College Hill City Schools could use murals inside and out. Give kids something inspiring to look at every day.,28,neutral,2026-01-15 14:13:45
NCH-103,James Robinson,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Art classes that do not cost an arm and a leg. Photography and painting and music lessons for kids and adults. We have talented people who could teach but no organized program.,35,negative,2026-01-15 14:15:22
NCH-103,James Robinson,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Until we invest real money in arts and culture nothing is going to change. Surveys are nice but we have been surveyed before. We need action.,24,negative,2026-01-15 14:16:18
