respondent_id,full_name,neighborhood,channel,pillar,question_num,question_text,response_text,duration_sec,sentiment,timestamp
NCH-151,Darnell Washington,Meyerville,web,HOUSING,1,"Do you currently rent or own your home?","I own my home. Been here 23 years now, raised all my kids in this house.",18,positive,2026-01-15 09:23:14
NCH-151,Darnell Washington,Meyerville,web,HOUSING,2,"What's your biggest challenge with housing right now - affordability, maintenance, safety, or something else?","Maintenance is killing me. The roof needs work, the furnace is on its last leg. Everything in these houses was built around the same time so it all breaks down together.",45,negative,2026-01-15 09:24:02
NCH-151,Darnell Washington,Meyerville,web,HOUSING,3,"What would help more residents become homeowners in North College Hill?","Down payment assistance programs would be huge. A lot of folks I know could afford the monthly payment but can't save up that 20% while paying rent.",38,neutral,2026-01-15 09:25:15
NCH-151,Darnell Washington,Meyerville,web,HOUSING,4,"Is there anything else you'd like to share about housing in your neighborhood?","We need sidewalks on my street. Kids walk to school in the road because there's no sidewalk. It's dangerous.",32,negative,2026-01-15 09:26:22
NCH-152,Patricia Coleman,Clovernook,phone,HOUSING,1,"Do you currently rent or own your home?","I rent. I've been renting the same place for about six years now.",22,neutral,2026-01-15 11:45:33
NCH-152,Patricia Coleman,Clovernook,phone,HOUSING,2,"What's your biggest challenge with housing right now - affordability, maintenance, safety, or something else?","My landlord barely fixes anything. I've had a leaky faucet for months, reported it three times. The rent keeps going up but nothing gets repaired.",52,negative,2026-01-15 11:46:45
NCH-152,Patricia Coleman,Clovernook,phone,HOUSING,3,"What would help more residents become homeowners in North College Hill?","Classes on how to buy a house, the whole process. First-time homebuyer education. I don't even know where to start honestly.",41,neutral,2026-01-15 11:48:02
NCH-152,Patricia Coleman,Clovernook,phone,HOUSING,4,"Is there anything else you'd like to share about housing in your neighborhood?","Too many houses getting bought up by out-of-town investors who just want rent money. They don't care about the community.",36,negative,2026-01-15 11:49:15
NCH-153,Michael Thompson,Sunshine,web,HOUSING,1,"Do you currently rent or own your home?","Owner. My grandmother left me this house when she passed.",16,positive,2026-01-15 14:12:08
NCH-153,Michael Thompson,Sunshine,web,HOUSING,2,"What's your biggest challenge with housing right now - affordability, maintenance, safety, or something else?","Property taxes. They went up again this year. I'm on a fixed income and it's getting hard to keep up.",34,negative,2026-01-15 14:13:22
